Date,Open,High,Low,Close,Volume,MA5,MA20,Daily_Return
2025-04-08,127.0,130.5,125.0,125.0,308542896,143.0,160.15,-9.747292418772568
2025-04-09,119.0,122.5,112.5,112.5,366032118,136.3,157.175,-9.999999999999998
2025-04-10,123.5,123.5,123.5,123.5,36901188,130.6,154.925,9.777777777777775
2025-04-11,118.5,135.0,117.0,134.5,297865611,126.8,153.125,8.906882591093112
2025-04-14,141.5,145.0,136.0,138.5,214264335,126.8,151.65,2.973977695167296
2025-04-15,139.0,140.0,136.0,139.5,86203486,129.7,150.125,0.7220216606498298
2025-04-16,138.0,139.5,136.0,136.0,61680512,134.4,148.525,-2.508960573476704
2025-04-17,134.5,135.5,132.0,134.5,64431249,136.6,146.875,-1.1029411764705843
2025-04-18,135.0,136.5,133.5,135.5,26363008,136.8,145.45,0.743494423791824
2025-04-21,135.0,137.0,134.5,136.5,32102734,136.4,143.975,0.7380073800737907
2025-04-22,134.5,136.0,131.5,132.0,44476006,134.9,142.325,-3.296703296703296
2025-04-23,136.0,139.5,136.0,139.0,65973272,135.5,141.125,5.303030303030298
2025-04-24,139.0,139.0,135.5,136.5,46353045,135.9,139.7,-1.7985611510791366
2025-04-25,140.5,141.0,138.5,139.0,57201568,136.6,138.35,1.831501831501825
2025-04-28,140.0,143.5,140.0,142.5,47321711,137.8,137.45,2.517985611510798
2025-04-29,141.5,143.5,141.0,143.0,40351039,140.0,136.9,0.35087719298245723
2025-04-30,143.0,144.0,141.5,141.5,42090535,140.5,136.675,-1.0489510489510523
2025-05-02,144.5,148.0,144.0,147.5,60280797,142.7,136.45,4.240282685512375
2025-05-05,149.0,149.0,142.0,142.5,66798494,143.4,135.9,-3.3898305084745783
2025-05-06,142.5,146.5,142.0,146.0,53330985,144.1,136.275,2.4561403508772006
2025-05-07,146.5,148.0,143.5,145.0,43382455,144.5,137.275,-0.6849315068493178
2025-05-08,145.5,146.5,144.5,146.0,29519952,145.4,138.95,0.6896551724137945
2025-05-09,146.5,147.5,145.5,147.0,30063441,145.3,140.125,0.6849315068493178
2025-05-12,149.0,153.0,148.5,153.0,59409981,147.4,141.05,4.081632653061229
2025-05-13,159.5,161.5,157.0,158.0,95098747,149.8,142.025,3.267973856209161
2025-05-14,161.5,163.0,159.5,163.0,71682968,153.4,143.2,3.164556962025311
2025-05-15,163.0,163.0,158.5,159.5,71845843,156.1,144.375,-2.1472392638036797
2025-05-16,158.5,159.5,157.0,158.0,34670607,158.3,145.55,-0.9404388714733591
2025-05-19,157.0,158.0,154.0,154.0,53345121,158.5,146.475,-2.5316455696202556
2025-05-20,157.0,158.5,153.5,154.0,41647356,157.7,147.35,0.0
2025-05-21,155.0,156.5,154.5,155.0,29698374,156.1,148.5,0.6493506493506551
2025-05-22,153.5,154.0,151.5,153.0,37074612,154.8,149.2,-1.2903225806451646
2025-05-23,156.0,156.0,153.0,154.0,22518013,154.0,150.075,0.6535947712418277
2025-05-26,152.5,155.0,151.0,153.0,28992215,153.8,150.775,-0.649350649350644
2025-05-27,153.5,155.0,152.0,152.0,27594038,153.4,151.25,-0.6535947712418277
2025-05-28,154.0,154.0,151.5,152.0,31758614,152.8,151.7,0.0
2025-05-29,154.5,158.0,154.0,156.0,91749249,153.4,152.425,2.6315789473684292
2025-06-02,154.0,154.5,151.0,152.5,55748448,153.1,152.675,-2.2435897435897467
2025-06-03,153.5,155.0,151.5,151.5,38422320,152.8,153.125,-0.6557377049180357
2025-06-04,153.5,156.0,153.0,156.0,39837003,153.6,153.625,2.970297029702973
2025-06-05,156.5,157.0,155.5,155.5,34529119,154.3,154.15,-0.3205128205128194
2025-06-06,155.5,155.5,153.0,153.0,24170636,153.7,154.5,-1.6077170418006381
2025-06-09,155.0,155.5,154.0,154.5,18474613,154.1,154.875,0.9803921568627416
2025-06-10,155.5,156.0,155.0,155.5,33025153,154.9,155.0,0.6472491909385036
2025-06-11,156.5,157.5,155.5,156.0,27402761,154.9,154.9,0.3215434083601254
2025-06-12,155.5,158.0,154.0,157.5,33551155,155.3,154.625,0.9615384615384581
2025-06-13,157.0,158.5,156.0,156.5,37530090,156.0,154.475,-0.6349206349206327
2025-06-16,156.0,157.0,154.5,155.0,21896497,156.1,154.325,-0.9584664536741228
2025-06-17,156.5,157.0,154.5,155.0,25564725,156.0,154.375,0.0
2025-06-18,155.0,156.5,154.0,156.0,38500036,156.0,154.475,0.6451612903225712
2025-06-19,155.5,156.0,154.0,154.0,20674399,155.3,154.425,-1.2820512820512775
2025-06-20,154.5,155.5,153.0,155.5,60372534,155.1,154.55,0.9740259740259827
2025-06-23,153.0,156.0,152.0,156.0,49297718,155.3,154.65,0.3215434083601254
2025-06-24,158.0,162.0,157.5,160.5,67130349,156.4,155.025,2.8846153846153744
2025-06-25,161.5,162.0,160.0,162.0,48758589,157.6,155.525,0.9345794392523255
2025-06-26,162.0,164.0,161.5,163.0,65708560,159.4,156.075,0.6172839506172867
2025-06-27,163.0,165.5,162.5,165.0,75664710,161.3,156.525,1.2269938650306678
2025-06-30,166.0,166.5,161.0,161.0,62308280,162.3,156.95,-2.4242424242424288
2025-07-01,161.5,166.0,161.0,165.5,103158692,163.3,157.65,2.795031055900621
2025-07-02,160.0,162.0,160.0,162.0,66421265,163.3,157.95,-2.114803625377648
2025-07-03,164.0,164.5,163.0,164.0,46192607,163.5,158.375,1.2345679012345734
2025-07-04,164.0,164.5,160.5,161.0,27987146,162.7,158.775,-1.8292682926829285
2025-07-07,161.0,162.0,159.5,161.0,24255997,162.7,159.1,0.0
2025-07-08,160.5,161.0,158.5,159.0,30781568,161.4,159.275,-1.2422360248447228
2025-07-09,159.5,161.5,159.0,161.0,29446200,161.2,159.525,1.2578616352201255
2025-07-10,161.0,162.5,160.0,161.5,31990223,160.7,159.725,0.31055900621117516
2025-07-11,161.5,162.5,160.5,161.5,21551645,160.8,159.975,0.0
2025-07-14,161.5,162.5,160.5,160.5,18862970,160.7,160.25,-0.6191950464396245
2025-07-15,160.0,163.0,160.0,163.0,20779193,161.5,160.65,1.5576323987538832
2025-07-16,163.0,164.0,162.5,162.5,25282174,161.8,160.975,-0.30674846625766694
2025-07-17,163.0,164.0,162.5,164.0,20679892,162.3,161.475,0.9230769230769154
2025-07-18,165.0,166.0,164.5,165.5,35368360,163.1,161.975,0.9146341463414531
2025-07-21,166.0,166.5,164.5,165.0,17115644,164.0,162.425,-0.30211480362537513
2025-07-22,165.0,166.0,161.5,162.0,39452683,163.8,162.5,-1.8181818181818188
2025-07-23,163.5,166.0,163.5,166.0,51058093,164.5,162.7,2.4691358024691468
2025-07-24,168.0,174.0,167.5,174.0,127736383,166.5,163.25,4.819277108433728
2025-07-25,175.5,175.5,173.0,174.5,57244442,168.3,163.725,0.2873563218390718
2025-07-28,176.0,178.0,175.5,176.0,55666706,170.5,164.475,0.8595988538681931
2025-07-29,175.0,175.5,171.0,171.5,49613588,172.4,164.775,-2.5568181818181768
2025-07-31,178.0,179.0,176.0,178.0,90529600,174.8,165.575,3.790087463556846
2025-08-01,175.0,181.5,175.0,181.5,65361707,176.3,166.45,1.96629213483146
2025-08-04,179.5,181.0,178.5,180.0,44503796,177.4,167.4,-0.8264462809917328
2025-08-05,182.0,185.0,182.0,184.5,52169907,179.1,168.575,2.499999999999991
2025-08-06,185.5,188.5,184.0,186.0,68868790,182.0,169.925,0.8130081300812941
2025-08-07,190.0,195.0,190.0,194.5,119398749,185.3,171.6,4.5698924731182755
2025-08-08,197.0,197.0,193.5,194.5,65469369,187.9,173.25,0.0
